,date,>100,80-100,60-80,50-60,40-50,30-40,20-30,all,bar,sump,w_sump
378,20210823,5,10,20,22,50,84,230,191,126.13984168865436,5.577836411609499,0.7994722955145119
379,20210824,6,13,24,26,59,126,301,254,126.1984210526316,6.298684210526315,0.9526315789473684
380,20210825,15,13,33,47,81,182,505,371,126.31811023622048,6.738845144356955,0.9868766404199476
381,20210826,8,10,32,22,52,143,323,267,126.38272251308902,6.215968586387435,0.9267015706806284
382,20210827,10,10,26,27,62,127,254,262,126.44438642297652,6.221932114882506,0.929503916449086
383,20210830,7,12,24,41,50,119,242,253,126.90104166666669,6.210937500000001,0.921875
384,20210831,10,11,45,36,63,141,255,306,127.38493506493506,6.52987012987013,0.9792207792207792
385,20210901,4,9,18,36,43,87,190,197,127.4119170984456,5.427461139896373,0.7746113989637305
386,20210902,7,19,38,35,52,105,262,256,127.46925064599483,6.370801033591731,0.9638242894056848
387,20210903,6,12,29,25,41,101,280,214,127.50463917525774,5.923969072164948,0.8608247422680413
388,20210906,3,7,30,26,46,116,242,228,127.5470437017995,5.805912596401029,0.8406169665809768
389,20210907,5,9,41,20,58,113,263,246,127.59846153846156,6.026923076923078,0.8794871794871795
390,20210908,4,10,33,31,46,105,267,229,127.64092071611252,6.037084398976981,0.8797953964194374
391,20210909,4,14,31,26,50,119,277,244,128.0908163265306,6.20280612244898,0.9158163265306124
392,20210910,4,11,27,29,34,107,231,212,128.52417302798983,5.741730279898219,0.8091603053435115
393,20210913,9,12,31,36,63,100,271,251,128.5771573604061,6.293147208121828,0.9441624365482232
394,20210914,16,12,37,30,75,117,266,287,128.6481012658228,6.424050632911393,0.9670886075949368
395,20210915,9,23,33,42,69,140,276,316,129.53333333333333,6.6439393939393945,0.9797979797979798
396,20210916,12,18,35,32,70,118,249,285,130.40251889168766,6.464735516372796,0.9748110831234256
397,20210917,9,17,38,29,50,132,264,275,130.86633165829147,6.364321608040202,0.9547738693467336
398,20210922,10,14,34,31,44,119,251,252,131.31829573934837,6.165413533834586,0.8972431077694236
399,20210923,5,11,29,30,49,89,234,213,131.3505,5.76875,0.8049999999999999
400,20210924,5,6,17,17,48,69,165,162,131.35710723192022,4.395261845386534,0.6234413965087282
401,20210927,1,5,13,16,29,60,135,124,131.34477611940298,3.522388059701492,0.4726368159203979
402,20210928,3,7,14,14,35,54,154,127,131.33399503722086,3.795285359801489,0.5111662531017369
403,20210929,2,3,12,10,25,29,104,81,131.30049504950497,2.174504950495049,0.2425742574257425
404,20210930,3,4,17,9,26,46,128,105,131.279012345679,2.8679012345679014,0.3679012345679012
405,20211008,3,4,13,10,27,50,140,107,130.85862068965517,2.982758620689655,0.3866995073891626
406,20211011,2,2,7,10,15,38,114,74,130.42211302211302,1.6449631449631448,0.1670761670761671
