,date,大金融,地产基建,大科技,公用事业,新能源,大消费,乡村振兴,汽车产业,医药生物,运输业,周期,高端制造,军工,社会服务,其他
211,20201217,2,4,,3,1,2,4,1,2,3,1,3,4,4,4
212,20201218,3,4,4,3,2,1,3,1,2,,1,2,4,4,4
213,20201221,3,3,4,2,2,1,4,1,2,4,1,3,,4,4
214,20201222,2,4,4,2,1,2,4,1,3,,1,3,,4,4
215,20201223,2,4,4,1,2,3,,1,3,,1,3,,4,4
216,20201224,1,4,4,1,3,2,4,2,2,,1,3,,4,4
217,20201225,4,2,4,1,2,1,4,3,2,,1,4,,4,3
218,20201228,2,2,4,1,3,1,4,2,3,4,1,4,,4,3
219,20201229,2,4,4,1,2,2,3,1,3,4,1,4,,4,3
220,20201230,3,3,4,1,2,1,4,2,2,4,1,4,,4,3
221,20201231,4,3,4,1,2,1,4,2,2,4,1,3,,4,3
222,20210104,2,4,4,1,4,2,4,1,2,,1,3,,4,3
223,20210105,3,,4,1,2,2,4,1,2,4,1,3,,4,4
224,20210106,3,4,4,1,3,2,4,1,2,,1,3,,,4
225,20210107,3,4,4,1,2,1,4,2,2,,1,4,,4,3
226,20210108,3,,4,1,2,1,3,2,2,4,1,3,4,4,4
227,20210111,3,4,4,2,2,1,3,2,1,4,1,3,,4,4
228,20210112,4,,4,1,2,1,3,2,1,4,2,3,4,4,3
229,20210113,4,,,1,2,2,3,2,1,4,1,3,4,4,4
230,20210114,4,,4,3,2,1,2,2,1,4,1,3,4,4,3
231,20210115,,4,4,3,4,1,1,3,1,3,2,2,4,4,2
232,20210118,4,,4,4,3,1,2,2,1,3,1,3,4,4,2
233,20210119,4,4,4,4,3,1,2,1,1,3,2,2,4,,3
234,20210120,,,4,4,3,1,3,2,1,4,1,2,4,4,2
235,20210121,4,,4,4,2,1,3,2,1,4,1,2,3,4,3
236,20210122,4,4,4,4,1,1,3,2,2,,1,3,4,3,2
237,20210125,4,4,3,4,1,1,3,2,2,,1,3,4,4,2
238,20210126,4,4,4,4,1,1,3,2,2,4,1,3,,3,2
239,20210127,4,4,4,4,2,1,2,1,2,4,1,3,,3,3
240,20210128,3,4,,4,2,1,2,1,2,4,1,3,4,4,3
241,20210129,4,4,4,,2,1,2,1,1,4,2,3,3,4,3
242,20210201,4,4,4,,2,1,1,1,2,3,3,3,4,4,2
243,20210202,4,4,4,,2,1,1,1,2,4,2,3,4,3,3
244,20210203,3,4,,4,2,1,1,1,2,4,2,3,4,4,3
245,20210204,4,4,,4,1,1,2,1,2,3,3,3,4,4,2
246,20210205,4,4,4,,2,1,1,1,2,2,3,3,4,4,3
247,20210208,3,4,4,,1,1,2,1,2,3,2,4,4,4,3
248,20210209,3,4,,4,1,1,2,1,2,4,3,3,4,4,2
249,20210210,3,4,4,,1,1,2,1,2,4,2,3,4,4,3
250,20210218,4,4,4,,1,1,3,1,2,4,2,2,3,4,3
251,20210219,2,4,4,,1,1,3,1,2,4,2,3,3,4,4
252,20210222,1,4,4,4,2,1,3,1,2,,2,3,4,4,3
253,20210223,1,4,,,2,1,2,1,3,4,2,4,4,4,3
254,20210224,2,3,,4,2,1,3,1,1,4,2,3,4,4,4
255,20210225,3,4,,4,3,1,1,1,2,4,2,4,4,,2
256,20210226,3,2,,,4,1,2,1,1,4,2,4,4,4,3
257,20210301,4,2,,,4,1,3,1,1,4,2,4,3,4,2
258,20210302,4,1,,,4,2,2,1,1,4,3,4,3,4,2
259,20210303,4,1,,,4,1,2,1,2,4,2,3,4,4,3
260,20210304,1,1,,,4,1,2,2,4,4,2,3,4,4,3
261,20210305,2,1,,4,4,1,3,3,2,4,1,3,4,4,2
262,20210308,3,1,4,,4,1,2,2,2,4,1,3,4,4,3
263,20210309,4,2,4,,4,1,2,1,2,4,1,3,3,4,3
264,20210310,4,2,4,,4,1,1,1,2,4,2,3,3,4,3
265,20210311,3,1,4,,4,1,2,2,2,4,1,3,4,4,3
266,20210312,4,1,4,4,4,1,2,2,2,,1,3,,4,3
267,20210315,4,1,,4,4,1,2,2,3,,1,3,,4,3
268,20210316,4,1,,4,4,1,2,2,2,,1,3,4,4,3
269,20210317,3,1,,4,4,1,2,2,2,,1,4,4,4,3
270,20210318,3,1,4,4,4,1,2,2,3,,1,3,4,4,2
271,20210319,4,1,4,4,3,1,2,2,2,,1,3,4,4,3
272,20210322,4,1,,4,3,2,2,1,2,4,1,3,4,4,3
273,20210323,4,1,4,4,3,3,2,2,1,4,1,3,4,,2
274,20210324,3,1,4,4,4,3,2,1,2,3,1,4,4,,2
275,20210325,4,1,3,4,4,3,3,1,1,2,2,4,2,,4
276,20210326,4,1,4,,3,2,2,1,2,4,1,4,3,4,3
277,20210329,4,1,,4,3,2,2,1,2,4,1,4,,3,4
278,20210330,4,1,3,4,3,2,1,1,2,4,2,4,,3,4
279,20210331,,1,3,4,3,2,1,1,2,4,2,4,,4,4
280,20210401,4,1,3,4,2,2,2,1,3,4,1,3,,4,4
281,20210402,4,1,3,4,2,3,2,1,1,4,2,4,,3,4
282,20210406,4,2,4,4,2,3,2,1,1,4,1,3,,3,4
283,20210407,4,2,4,4,3,1,2,1,1,,2,3,4,3,4
284,20210408,4,4,,3,1,1,2,1,2,4,2,3,4,4,3
285,20210409,4,4,4,3,1,2,2,1,1,,3,2,4,4,3
286,20210412,4,2,3,4,2,1,2,1,1,,3,3,4,4,4
287,20210413,2,3,2,4,1,2,4,1,1,3,3,4,4,,4
288,20210414,2,4,2,4,1,3,4,1,1,4,2,4,3,,3
289,20210415,4,4,2,,1,3,3,1,1,4,2,2,4,3,4
290,20210416,4,,4,4,2,2,4,1,1,3,3,1,2,4,3
291,20210419,4,4,4,3,2,2,4,1,1,4,2,1,3,,3
292,20210420,,4,3,3,2,2,4,1,1,4,2,1,3,4,4
293,20210421,4,4,2,3,1,3,3,1,1,4,2,2,4,,4
294,20210422,,4,4,4,1,2,3,1,1,3,2,2,4,4,3
295,20210423,,4,4,4,1,2,3,2,1,4,1,2,3,4,3
296,20210426,4,,4,4,1,1,3,2,1,,2,3,4,4,2
297,20210427,4,,4,4,1,2,3,1,1,4,2,3,4,3,2
298,20210428,4,,4,4,1,2,4,1,1,,2,3,4,3,2
299,20210429,,4,4,4,1,2,3,1,1,4,2,3,4,3,2
300,20210430,4,,,4,1,2,3,1,2,4,1,3,4,4,2
301,20210506,4,,,4,1,1,3,2,2,4,1,3,4,4,2
302,20210507,4,,4,4,2,1,3,1,2,4,1,3,4,3,2
303,20210510,4,,4,4,2,1,3,2,1,4,1,3,3,4,2
304,20210511,4,,4,4,1,1,3,1,2,4,2,3,3,4,2
305,20210512,3,,4,4,1,1,3,1,2,4,2,3,4,4,2
306,20210513,4,,3,4,1,1,3,1,2,4,2,2,4,4,3
307,20210514,4,,4,4,1,3,3,1,1,4,2,2,3,4,2
308,20210517,4,,4,3,1,3,4,1,1,4,2,2,3,4,2
309,20210518,4,4,4,3,1,2,4,1,2,,1,3,3,4,2
310,20210519,4,4,3,3,1,2,4,2,1,,1,3,4,4,2
311,20210520,,4,3,4,1,2,3,1,2,4,1,3,4,4,2
312,20210521,3,2,4,4,1,2,3,1,2,,1,4,4,4,3
313,20210524,4,2,3,4,2,2,3,1,1,,1,4,4,4,3
314,20210525,4,4,4,3,1,2,4,1,1,2,2,3,4,,3
315,20210526,4,4,4,3,1,2,3,1,1,2,2,3,,4,4
316,20210527,2,3,4,4,1,2,4,1,1,4,2,3,,4,3
317,20210528,3,3,4,2,2,1,4,2,1,4,1,4,,3,4
318,20210531,4,3,4,2,2,1,,2,1,3,1,3,4,4,4
319,20210601,3,4,3,3,2,2,4,1,1,,1,4,2,4,4
320,20210602,2,3,4,4,2,1,4,1,1,,2,3,3,4,4
321,20210603,3,3,4,,2,2,4,1,1,4,1,3,4,2,4
322,20210604,3,4,2,4,2,2,4,1,1,,1,3,4,4,3
323,20210607,2,4,3,4,2,2,4,1,1,,1,3,3,4,4
324,20210608,3,4,2,2,4,2,,1,1,4,1,3,3,4,4
