,date,大金融,地产基建,大科技,公用事业,新能源,大消费,乡村振兴,汽车产业,医药生物,运输业,周期,高端制造,军工,社会服务,其他
141,20200902.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,3,1,4,1.0,2.0,4.0,4.0,1.0
142,20200903.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,1,1,4,1.0,3.0,4.0,3.0,2.0
143,20200904.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,2,1,4.0,1.0,2.0,2.0,4,1.0
144,20200907.0,4.0,3.0,4,4.0,3.0,2.0,4.0,3,1,4.0,1.0,2.0,2.0,4.0,1.0
145,20200908.0,4.0,2.0,4,4.0,3.0,2.0,4.0,3,1,4.0,1.0,3.0,1.0,4.0,2.0
146,20200909.0,4.0,3.0,4,2.0,4.0,1.0,3.0,3,1,4.0,2.0,2.0,4.0,4.0,1.0
147,20200910.0,4.0,4.0,4.0,3.0,4.0,1.0,2.0,1,1,4.0,2.0,3.0,4,2.0,3.0
148,20200911.0,4,4.0,4.0,4.0,4.0,2.0,2.0,1,1,4.0,1.0,2.0,4,3.0,3.0
149,20200914.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,2,1,4.0,1.0,2.0,4,4.0,2.0
150,20200915.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,1,1,4.0,1.0,2.0,4,3.0,2.0
151,20200916.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,1,1,4,1.0,2.0,4,3.0,2.0
152,20200917.0,4.0,3.0,4,4.0,4.0,2.0,3.0,2,1,4.0,1.0,1.0,4.0,3.0,2.0
153,20200918.0,4.0,4.0,4.0,3.0,4,2.0,2.0,2,1,3.0,1.0,1.0,4.0,4.0,3.0
154,20200921.0,4.0,4.0,4.0,2.0,4.0,1.0,3.0,2,1,3.0,1.0,2.0,4,4.0,3.0
155,20200922.0,4.0,4,4.0,1.0,4.0,2.0,3.0,1,1,3.0,2.0,2.0,4,4.0,4.0
156,20200923.0,4.0,4,4.0,2.0,2.0,2.0,3.0,1,1,4.0,1.0,3.0,4.0,4.0,3.0
157,20200924.0,4.0,4,4.0,1.0,2.0,2.0,3.0,1,1,3.0,2.0,3.0,4.0,4.0,4.0
158,20200925.0,4.0,4,4.0,2.0,2.0,3.0,3.0,1,1,3.0,1.0,2.0,4.0,4.0,4.0
159,20200928.0,4,4.0,4,2.0,3.0,2.0,4.0,2,1,3.0,1.0,1.0,4.0,4.0,4.0
160,20200929.0,4,4.0,4,1.0,3.0,2.0,4.0,2,1,4.0,1.0,2.0,4.0,4.0,3.0
161,20200930.0,4,4.0,4.0,1.0,2.0,3.0,3.0,2,1,4.0,1.0,2.0,4.0,4.0,3.0
162,20201009.0,4,4.0,4.0,1.0,3.0,2.0,3.0,4,1,4.0,1.0,2.0,4,4.0,2.0
163,20201012.0,4,4.0,4,1.0,3.0,3.0,3.0,4,1,4.0,1.0,2.0,4,4.0,2.0
164,20201013.0,4,4.0,4.0,1.0,2.0,3.0,3.0,3,1,4.0,1.0,2.0,4.0,4.0,2.0
165,20201014.0,4,4.0,3.0,2.0,1.0,2.0,4.0,2,1,4.0,1.0,3.0,4.0,4.0,3.0
166,20201015.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,2,1,4,1.0,1.0,4.0,4.0,3.0
167,20201016.0,4,4.0,4.0,3.0,1.0,2.0,3.0,2,1,4.0,1.0,2.0,4.0,4.0,3.0
168,20201019.0,4.0,4.0,3.0,2.0,3.0,1.0,4.0,3,1,4,1.0,2.0,4.0,4.0,2.0
169,20201020.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,3,1,4.0,1.0,2.0,4.0,4,1.0
170,20201021.0,4,4.0,3.0,4.0,3.0,2.0,4.0,1,1,3.0,2.0,2.0,4.0,4.0,1.0
171,20201022.0,4,4.0,4.0,4.0,3.0,3.0,4.0,1,1,3.0,1.0,2.0,2.0,4.0,2.0
172,20201023.0,4.0,4,4.0,4.0,4.0,2.0,3.0,1,1,3.0,1.0,2.0,3.0,4.0,2.0
173,20201026.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,2,1,4,1.0,2.0,3.0,4.0,1.0
174,20201027.0,4.0,4.0,3.0,4.0,1.0,3.0,4.0,2,1,4,1.0,2.0,3.0,4.0,2.0
175,20201028.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,2,1,4,1.0,1.0,3.0,4.0,2.0
