date	Labels	Values
20200508	weighted_emo	16.919244167482017
20200511	weighted_emo	0.2493194144420051
20200512	weighted_emo	-0.2434031800453215
20200513	weighted_emo	9.869988093187285
20200514	weighted_emo	-10.954121082205482
20200515	weighted_emo	3.610935450539471
20200518	weighted_emo	0.8439181828118265
20200519	weighted_emo	20.800435613763423
20200520	weighted_emo	-9.68263312216159
20200521	weighted_emo	-10.557003971331929
20200522	weighted_emo	-20.96654235344976
20200525	weighted_emo	-0.521119729765211
20200526	weighted_emo	32.01528319135676
20200527	weighted_emo	-3.4527718415476736
20200528	weighted_emo	-5.652245001325669
20200529	weighted_emo	11.604613805909684
20200601	weighted_emo	51.79380063620816
20200602	weighted_emo	13.09818565126542
20200603	weighted_emo	3.2837958976908936
20200604	weighted_emo	9.618996434764442
20200605	weighted_emo	4.22008360791515
20200608	weighted_emo	2.218217156148788
20200609	weighted_emo	11.03557978104141
20200610	weighted_emo	0.7552243697956126
20200611	weighted_emo	-4.055009500491447
20200612	weighted_emo	2.992804191130691
20200615	weighted_emo	1.824442828828512
20200616	weighted_emo	33.02285260010034
20200617	weighted_emo	11.660206423290798
20200618	weighted_emo	2.631410888099745
20200619	weighted_emo	12.04006269361308
20200622	weighted_emo	7.9661556730255505
20200623	weighted_emo	4.561944373112164
20200624	weighted_emo	0.0167795219548546
20200629	weighted_emo	-2.8106878345366955
20200630	weighted_emo	30.624837440462613
20200701	weighted_emo	15.366493669475284
20200702	weighted_emo	32.194452005246205
20200703	weighted_emo	31.09354229763812
20200706	weighted_emo	95.61176681815292
20200707	weighted_emo	41.153157385902304
20200708	weighted_emo	69.52961544925824
20200709	weighted_emo	90.53332855120232
20200710	weighted_emo	22.219504097435227
20200713	weighted_emo	106.74810180944728
20200714	weighted_emo	28.0288402494112
20200715	weighted_emo	-12.835715691702877
20200716	weighted_emo	-45.8850669284166
20200717	weighted_emo	7.928296936255499
20200720	weighted_emo	73.55359514309193
20200721	weighted_emo	19.23508869754488
20200722	weighted_emo	19.417436521241985
20200723	weighted_emo	8.768669272397348
20200724	weighted_emo	-45.30743310398548
20200727	weighted_emo	2.6770030261857727
20200728	weighted_emo	19.835492742373155
20200729	weighted_emo	46.90701190549376
20200730	weighted_emo	6.787800767647531
20200731	weighted_emo	28.30988971322793
20200803	weighted_emo	71.74647854680438
20200804	weighted_emo	10.075897035131383
20200805	weighted_emo	34.94951658486277
20200806	weighted_emo	13.499768436124416
20200807	weighted_emo	-5.712705474156783
20200810	weighted_emo	28.644012300574552
20200811	weighted_emo	-18.65725056040206
20200812	weighted_emo	-3.214493276114097
20200813	weighted_emo	13.291965318484577
20200814	weighted_emo	16.41082982290782
20200817	weighted_emo	43.23706193191782
20200818	weighted_emo	25.591980479993
20200819	weighted_emo	-9.728724818133278
20200820	weighted_emo	-12.003908822095736
20200821	weighted_emo	15.652042147810253
20200824	weighted_emo	22.15246149821301
20200825	weighted_emo	7.811470400957359
20200826	weighted_emo	-23.73712320726878
20200827	weighted_emo	23.351714031459625
20200828	weighted_emo	21.328443060183105
20200831	weighted_emo	7.166616021796822
20200901	weighted_emo	18.774913634013267
20200902	weighted_emo	19.450754427407265
20200903	weighted_emo	-6.091760069709308
20200904	weighted_emo	9.178354681979885
20200907	weighted_emo	-7.376257697799954
20200908	weighted_emo	27.39623857067109
20200909	weighted_emo	-27.095447753118265
20200910	weighted_emo	-42.761603320419326
20200911	weighted_emo	16.76624068536925
20200914	weighted_emo	18.310090239105914
20200915	weighted_emo	-0.1199875566582527
20200916	weighted_emo	-11.751354241566752
20200917	weighted_emo	2.597776938691472
20200918	weighted_emo	18.01744980993446
20200921	weighted_emo	-5.863861773213447
20200922	weighted_emo	-24.723769481570773
20200923	weighted_emo	4.7852792817643
20200924	weighted_emo	-36.63231161675613
20200925	weighted_emo	-12.794805836640926
